Date,Open,High,Low,Close,Adj Close,Volume
2008-02-08,185.000000,197.125000,184.875000,194.043747,137.608093,13180592
2008-02-11,193.750000,200.000000,190.031250,194.743744,138.104477,13978800
2008-02-12,195.000000,200.000000,191.918747,193.156250,136.978745,8462432
2008-02-13,196.250000,206.256256,187.668747,193.175003,136.991989,9893968
2008-02-14,190.687500,199.925003,190.687500,193.343750,137.111694,11749944
2008-02-15,192.500000,197.500000,187.625000,195.675003,138.764862,8952256
2008-02-18,196.250000,197.375000,192.531250,194.393753,137.856293,3266176
2008-02-19,195.000000,196.906250,190.812500,194.562500,137.975922,5356392
2008-02-20,196.375000,198.725006,194.562500,196.112503,139.075165,7002904
2008-02-21,199.987503,206.250000,196.537506,203.443756,144.274185,10366768
2008-02-22,201.500000,202.850006,196.443756,197.581253,140.116760,4970504
2008-02-25,199.850006,202.981247,197.875000,201.893753,143.175003,7592448
2008-02-26,202.375000,209.000000,201.250000,207.856247,147.403366,8402704
2008-02-27,208.125000,210.925003,201.893753,202.362503,143.507385,8432760
2008-02-28,201.125000,202.500000,199.018753,199.918747,141.774399,11706032
2008-02-29,196.250000,200.237503,190.125000,193.524994,137.240219,7945088
2008-03-03,192.625000,192.625000,181.250000,183.487503,130.122040,12364736
2008-03-04,190.512497,190.512497,176.250000,177.381256,125.791672,10798960
2008-03-05,178.125000,187.500000,175.625000,184.850006,131.088257,11396696
2008-03-07,181.250000,181.250000,175.037506,178.818756,126.811142,9164680
2008-03-10,176.750000,184.824997,175.000000,178.887497,126.859909,5657136
2008-03-11,179.875000,179.875000,175.625000,178.293747,126.438805,16043424
2008-03-12,184.250000,184.375000,172.000000,173.143753,122.786659,13626184
2008-03-13,172.500000,173.100006,163.875000,167.212494,118.580391,7881488
2008-03-14,166.875000,173.625000,166.250000,171.274994,121.461411,9622768
2008-03-17,168.500000,169.287506,163.875000,167.225006,118.589310,5832080
2008-03-18,167.500000,170.125000,162.500000,164.324997,116.532738,14731424
2008-03-19,168.743744,171.625000,164.500000,167.962494,119.112282,15637216
2008-03-24,169.656250,173.500000,167.899994,170.056244,120.597107,13596008
2008-03-25,175.206253,193.362503,173.750000,186.537506,132.284943,22739080
2008-03-26,188.125000,189.731247,181.387497,187.437500,132.923218,11819184
2008-03-27,186.256256,186.256256,178.262497,180.218750,127.803955,16692504
2008-03-28,179.000000,192.337494,177.500000,190.149994,134.846741,11829888
2008-03-31,185.250000,187.500000,175.512497,179.987503,127.639961,20198320
2008-04-01,180.637497,183.000000,176.274994,177.881256,126.146271,6289208
2008-04-02,184.375000,187.375000,183.125000,185.350006,131.442871,11152080
2008-04-03,183.762497,191.250000,183.762497,190.312500,134.962067,9778160
2008-04-04,183.875000,190.875000,179.000000,185.681244,131.677704,8028032
2008-04-07,187.375000,191.050003,184.531250,186.506256,132.262787,16097184
2008-04-08,186.500000,186.875000,181.531250,183.368744,130.037827,12385648
2008-04-09,183.368744,186.000000,181.375000,184.993744,131.190216,9028552
2008-04-10,183.125000,188.737503,180.375000,181.574997,128.765686,17130064
2008-04-11,183.750000,185.000000,176.625000,177.737503,126.044350,24134312
2008-04-15,180.000000,190.625000,177.500000,188.800003,133.889389,36402536
2008-04-16,190.625000,201.875000,190.000000,200.024994,141.849762,30611608
2008-04-17,203.743744,211.250000,202.500000,207.387497,147.070953,36919280
2008-04-21,209.875000,214.625000,203.500000,205.725006,145.891968,14821992
2008-04-22,203.750000,205.643753,197.500000,199.824997,141.707886,16797448
2008-04-23,200.000000,206.637497,199.637497,205.993744,146.082504,16632104
2008-04-24,206.250000,213.487503,204.125000,212.006256,150.346375,18346552
2008-04-25,212.493744,214.449997,206.375000,210.537506,149.304794,15895984
2008-04-28,211.250000,212.500000,206.387497,207.956253,147.474319,8629856
2008-04-29,206.250000,220.243744,205.137497,218.693756,155.088882,33966768
2008-04-30,220.000000,226.250000,216.262497,219.137497,155.403564,20999336
2008-05-02,221.875000,224.625000,221.043747,223.431244,158.448578,17349008
2008-05-05,223.375000,226.250000,220.518753,223.243744,158.315582,9792280
2008-05-06,220.699997,231.250000,217.000000,225.931244,160.221451,17782656
2008-05-07,229.612503,232.375000,227.324997,230.518753,163.474716,22085248
2008-05-08,225.625000,229.375000,218.181244,223.081253,158.200348,15537672
2008-05-09,222.625000,223.925003,217.125000,218.668747,155.071152,14412800
2008-05-12,221.175003,224.875000,211.918747,221.675003,157.203094,16301840
2008-05-13,223.125000,226.862503,214.375000,218.593750,155.017990,18049576
2008-05-14,217.500000,229.375000,217.500000,228.112503,161.768280,16222912
2008-05-15,228.000000,238.562500,228.000000,236.637497,167.813858,28982432
2008-05-16,237.125000,239.406250,232.506256,233.925003,165.890259,16864744
2008-05-20,233.125000,239.125000,226.875000,235.962494,167.335190,13969280
2008-05-21,234.250000,235.500000,231.750000,233.831253,165.823746,8559384
2008-05-22,232.500000,237.375000,230.875000,232.956253,165.203262,12277912
2008-05-23,232.956253,235.500000,227.043747,228.593750,162.109573,11698168
2008-05-26,226.250000,236.875000,223.875000,235.631256,167.100281,21397152
2008-05-27,236.250000,237.375000,233.250000,235.387497,166.927429,10323560
2008-05-28,235.375000,240.000000,234.562500,238.949997,169.453827,15428808
2008-05-29,238.125000,238.562500,232.068756,235.681244,169.552765,15898512
